20070202,0,"1,445.94","1,449.33","1,444.49","1,448.39","2,569,450,000"
20070205,1,"1,448.33","1,449.38","1,443.85","1,446.99","2,439,430,000"
20070206,1,"1,446.98","1,450.19","1,443.40","1,448.00","2,608,710,000"
20070207,0,"1,447.41","1,452.99","1,446.44","1,450.02","2,618,820,000"
20070208,0,"1,449.99","1,450.45","1,442.81","1,448.31","2,816,180,000"
20070209,0,"1,448.25","1,452.45","1,433.44","1,438.06","2,951,810,000"
20070212,1,"1,438.00","1,439.11","1,431.44","1,433.37","2,395,680,000"
20070213,1,"1,433.22","1,444.41","1,433.22","1,444.26","2,652,150,000"
20070214,1,"1,443.91","1,457.65","1,443.91","1,455.30","2,699,290,000"
20070215,0,"1,455.15","1,457.97","1,453.19","1,456.81","2,490,920,000"
20070216,1,"1,456.77","1,456.77","1,451.57","1,455.54","2,399,450,000"
20070220,0,"1,455.53","1,460.53","1,449.20","1,459.68","2,337,860,000"
20070221,0,"1,459.60","1,459.60","1,452.02","1,457.63","2,606,980,000"
20070222,0,"1,457.29","1,461.57","1,450.51","1,456.38","1,950,770,000"
20070223,0,"1,456.22","1,456.22","1,448.36","1,451.19","2,579,950,000"
20070226,0,"1,451.04","1,456.95","1,445.48","1,449.37","2,822,170,000"
20070227,1,"1,449.25","1,449.25","1,389.42","1,399.04","4,065,230,000"
20070228,0,"1,398.64","1,415.89","1,396.65","1,406.82","3,925,250,000"
20070301,0,"1,406.80","1,409.46","1,380.87","1,403.17","3,874,910,000"
20070302,0,"1,403.16","1,403.40","1,386.87","1,387.17","3,312,260,000"
20070305,1,"1,387.11","1,391.86","1,373.97","1,374.12","3,480,520,000"
20070306,0,"1,374.06","1,397.90","1,374.06","1,395.41","3,358,160,000"
20070307,1,"1,395.02","1,401.16","1,390.64","1,391.97","3,141,350,000"
20070308,1,"1,391.88","1,407.93","1,391.88","1,401.89","3,014,850,000"
20070309,1,"1,401.89","1,410.15","1,397.30","1,402.84","2,623,050,000"
20070312,0,"1,402.80","1,409.34","1,398.40","1,406.60","2,664,000,000"
20070313,1,"1,406.23","1,406.23","1,377.71","1,377.95","3,485,570,000"
20070314,1,"1,377.86","1,388.09","1,363.98","1,387.17","3,758,350,000"
20070315,0,"1,387.11","1,395.73","1,385.16","1,392.28","2,821,900,000"
20070316,1,"1,392.28","1,397.51","1,383.63","1,386.95","3,393,640,000"
20070319,1,"1,386.95","1,403.20","1,386.95","1,402.06","2,777,180,000"
20070320,1,"1,402.04","1,411.53","1,400.70","1,410.94","2,795,940,000"
20070321,0,"1,410.92","1,437.77","1,409.75","1,435.04","3,184,770,000"
20070322,1,"1,435.04","1,437.66","1,429.88","1,434.54","3,129,970,000"
20070323,1,"1,434.54","1,438.89","1,433.21","1,436.11","2,619,020,000"
20070326,0,"1,436.11","1,437.65","1,423.28","1,437.50","2,754,660,000"
20070327,0,"1,437.49","1,437.49","1,425.54","1,428.61","2,673,040,000"
20070328,1,"1,428.35","1,428.35","1,414.07","1,417.23","3,000,440,000"
20070329,0,"1,417.17","1,426.24","1,413.27","1,422.53","2,854,710,000"
20070330,1,"1,422.52","1,429.22","1,408.90","1,420.86","2,903,960,000"
20070402,1,"1,420.83","1,425.49","1,416.37","1,424.55","2,875,880,000"
20070403,1,"1,424.27","1,440.57","1,424.27","1,437.77","2,921,760,000"
20070404,1,"1,437.75","1,440.16","1,435.08","1,439.37","2,616,320,000"
20070405,1,"1,438.94","1,444.88","1,436.67","1,443.76","2,357,230,000"
20070409,1,"1,443.77","1,448.10","1,443.28","1,444.61","2,349,410,000"
20070410,0,"1,444.58","1,448.73","1,443.99","1,448.39","2,510,110,000"
20070411,1,"1,448.23","1,448.39","1,436.15","1,438.87","2,950,190,000"
20070412,1,"1,438.87","1,448.02","1,433.91","1,447.80","2,770,570,000"
20070413,1,"1,447.80","1,453.11","1,444.15","1,452.85","2,690,020,000"
20070416,1,"1,452.84","1,468.62","1,452.84","1,468.33","2,870,140,000"
20070417,1,"1,468.47","1,474.35","1,467.15","1,471.48","2,920,570,000"
20070418,0,"1,471.47","1,476.57","1,466.41","1,472.50","2,971,330,000"
20070419,1,"1,472.48","1,474.23","1,464.47","1,470.73","2,913,610,000"
20070420,0,"1,470.69","1,484.74","1,470.69","1,484.35","3,329,940,000"
20070423,0,"1,484.33","1,487.32","1,480.19","1,480.93","2,575,020,000"
20070424,1,"1,480.93","1,483.82","1,473.74","1,480.41","3,119,750,000"
20070425,0,"1,480.28","1,496.59","1,480.28","1,495.42","3,252,590,000"
