20070720,1,"1,534.10"
20070723,0,"1,541.57"
20070724,1,"1,511.04"
20070725,0,"1,518.09"
20070726,0,"1,482.66"
20070727,1,"1,458.95"
20070730,0,"1,473.91"
20070731,1,"1,455.27"
20070801,1,"1,465.81"
20070802,0,"1,472.20"
20070803,1,"1,433.06"
20070806,1,"1,467.67"
20070807,1,"1,476.71"
20070808,0,"1,497.49"
20070809,1,"1,453.09"
20070810,0,"1,453.64"
20070813,0,"1,452.92"
20070814,0,"1,426.54"
20070815,1,"1,406.70"
20070816,1,"1,411.27"
20070817,0,"1,445.94"
20070820,1,"1,445.55"
20070821,1,"1,447.12"
20070822,0,"1,464.07"
20070823,1,"1,462.50"
20070824,0,"1,479.37"
20070827,0,"1,466.79"
20070828,1,"1,432.36"
20070829,0,"1,463.76"
20070830,1,"1,457.64"
20070831,1,"1,473.99"
20070904,0,"1,489.42"
20070905,1,"1,472.29"
20070906,0,"1,478.55"
20070907,0,"1,453.55"
20070910,1,"1,451.70"
20070911,1,"1,471.49"
20070912,1,"1,471.56"
20070913,1,"1,483.95"
20070914,0,"1,484.25"
20070917,1,"1,476.65"
20070918,1,"1,519.78"
20070919,0,"1,529.03"
20070920,1,"1,518.75"
20070921,0,"1,525.75"
20070924,0,"1,517.73"
20070925,1,"1,517.21"
20070926,1,"1,525.42"
20070927,0,"1,531.38"
20070928,1,"1,526.75"
20071001,0,"1,547.04"
20071002,0,"1,546.63"
20071003,1,"1,539.59"
20071004,1,"1,542.84"
20071005,0,"1,557.59"
20071008,1,"1,552.58"
20071009,0,"1,565.15"
20071010,0,"1,562.47"
20071011,1,"1,554.41"
20071012,0,"1,561.80"
20071015,0,"1,548.71"
20071016,1,"1,538.53"
20071017,0,"1,541.24"
20071018,0,"1,540.08"
20071019,1,"1,500.63"
20071022,1,"1,506.33"
20071023,0,"1,519.59"
20071024,0,"1,515.88"
20071025,1,"1,514.40"
20071026,1,"1,535.28"
20071029,0,"1,540.98"
20071030,1,"1,531.02"
20071031,0,"1,549.38"
20071101,1,"1,508.44"
20071102,0,"1,509.65"
20071105,1,"1,502.17"
20071106,0,"1,520.27"
20071107,0,"1,475.62"
20071108,0,"1,474.77"
20071109,0,"1,453.70"
20071112,1,"1,439.18"
20071113,0,"1,481.05"
20071114,0,"1,470.58"
20071115,1,"1,451.15"
20071116,0,"1,458.74"
20071119,1,"1,433.27"
20071120,0,"1,439.70"
20071121,1,"1,416.77"
20071123,0,"1,440.70"
20071126,1,"1,407.22"
20071127,1,"1,428.23"
20071128,1,"1,469.02"
20071129,1,"1,469.72"
20071130,0,"1,481.14"
20071203,0,"1,472.42"
20071204,1,"1,462.79"
20071205,1,"1,485.01"
20071206,0,"1,507.34"
20071207,1,"1,504.66"
20071210,0,"1,515.96"
20071211,1,"1,477.65"
20071212,1,"1,486.59"
20071213,0,"1,488.41"
20071214,0,"1,467.95"
20071217,1,"1,445.90"
20071218,0,"1,454.98"
20071219,1,"1,453.00"
20071220,1,"1,460.12"
20071221,1,"1,484.46"
20071224,1,"1,496.45"
20071226,0,"1,497.66"
20071227,1,"1,476.27"
20071228,0,"1,478.49"
20071231,0,"1,468.36"
20080102,0,"1,447.16"
20080103,0,"1,447.16"
20080104,1,"1,411.63"
20080107,0,"1,416.18"
20080108,1,"1,390.19"
20080109,1,"1,409.13"
20080110,0,"1,420.33"
20080111,1,"1,401.02"
20080114,0,"1,416.25"
20080115,0,"1,380.95"
20080116,0,"1,373.20"
20080117,0,"1,333.25"
20080118,0,"1,325.19"
20080122,1,"1,310.50"
20080123,1,"1,338.60"
20080124,0,"1,352.07"
20080125,1,"1,330.61"
20080128,1,"1,353.96"
20080129,0,"1,362.30"
20080130,1,"1,355.81"
20080131,1,"1,378.55"
20080201,0,"1,395.42"
20080204,0,"1,380.82"
20080205,0,"1,336.64"
20080206,1,"1,326.45"
20080207,0,"1,336.91"
20080208,1,"1,331.29"
20080211,1,"1,339.13"
20080212,1,"1,348.86"
20080213,0,"1,367.21"
20080214,1,"1,348.86"
20080215,0,"1,349.99"
20080219,1,"1,348.78"
20080220,0,"1,360.03"
20080221,1,"1,342.53"
20080222,1,"1,353.11"
20080225,1,"1,371.80"
20080226,0,"1,381.29"
20080227,0,"1,380.02"
20080228,0,"1,367.68"
20080229,1,"1,330.63"
20080303,0,"1,331.34"
20080304,1,"1,326.75"
20080305,0,"1,333.70"
20080306,0,"1,304.34"
20080307,0,"1,293.37"
20080310,1,"1,273.37"
20080311,0,"1,320.65"
20080312,1,"1,308.77"
20080313,0,"1,315.48"
20080314,0,"1,288.14"
20080317,1,"1,276.60"
20080318,0,"1,330.74"
20080319,1,"1,298.42"
20080320,1,"1,329.51"
20080324,1,"1,349.88"
20080325,0,"1,352.99"
20080326,0,"1,341.13"
20080327,0,"1,325.76"
20080328,1,"1,315.22"
20080331,1,"1,322.70"
20080401,0,"1,370.18"
20080402,1,"1,367.53"
20080403,1,"1,369.31"
20080404,1,"1,370.40"
20080407,0,"1,372.54"
20080408,0,"1,365.54"
20080409,1,"1,354.49"
20080410,0,"1,360.55"
20080411,0,"1,332.83"
20080414,1,"1,328.32"
20080415,1,"1,334.43"
20080416,1,"1,364.71"
20080417,1,"1,365.56"
20080418,0,"1,390.33"
20080421,0,"1,388.17"
20080422,1,"1,375.94"
20080423,1,"1,379.93"
20080424,1,"1,388.82"
20080425,0,"1,397.84"
20080428,0,"1,396.37"
20080429,0,"1,390.94"
20080430,1,"1,385.59"
20080501,1,"1,409.34"
20080502,0,"1,413.90"
20080505,1,"1,407.49"
20080506,0,"1,418.26"
20080507,1,"1,392.57"
20080508,0,"1,397.68"
20080509,1,"1,388.28"
20080512,0,"1,403.58"
20080513,1,"1,403.04"
20080514,1,"1,408.66"
20080515,1,"1,423.57"
20080516,1,"1,425.35"
20080519,0,"1,426.63"
20080520,0,"1,413.40"
20080521,1,"1,390.71"
20080522,0,"1,394.35"
20080523,1,"1,375.93"
20080527,1,"1,385.35"
20080528,1,"1,390.84"
20080529,1,"1,398.26"
20080530,0,"1,400.38"
20080602,0,"1,385.67"
20080603,0,"1,377.65"
20080604,1,"1,377.20"
20080605,0,"1,404.05"
20080606,1,"1,360.68"
20080609,0,"1,361.76"
